Group,Functions
Non-Meaningful,"2e7263ea, a1fe0e8d, 1913f161, 186dea44, 721a92f9, 0eca322b, 1e6473f9, e6170424, d09db04a, 40e95de6, bd76ecfd, fa0c2149, 8a5dadd1, 03ddf252, e7a4db81, 2bbd3aa8, bf697a26, 6c648fca, 4c60db9c, bc2b405c, 98414eed, cf329d16, aac673c3, e9252d46, a5397b22, 40370edf, e61c18d0, 6ffe492e, 41b91c26, 70703e4a, 486c9662, fd5a466f, 6811e3b9, 3e31ab8e, 781aa653, bf699b4b, 5f90d725, 78d5b517, 342bc29e, 2140ab88, db05ef8b, 22ca645a, bb99f7ce, b4d9b601, dafa54c6, 2c19d593, 0e0824a3, fca27b35, b3608630, 44fd3db0, 445cc62b, f6ebebbb, 3dac9377, 0a8fe064, 2303480f, 07093814, 307a4a0d, d9da0a70, 5ffe72b7, c3637897, 78c1a778, 847d282d, 1ef29a02, 006de4df, 6465706f, 5ed8a991, 01a1121f, 86e809fc, e6a24c3f, aeb5957d, 73ceb48d, 41d11324, 539e90f8, 47c7357b, b425b13c, c730c160, 4af74b68, ca7dab2c, 4baac078, 369baafe, b7da6a49, 24394467, b750dc46, 2e6a5609, 6eeb9e0f, 6e41592c, 7cd0599b, 5632b2e4, e9ccf3a3, ccc4fbc7, 4729ed3c, 090f88ca, d4d30063, df9a33b7, 4a75084c, ae000659, 72c4cff6, 7b4323de, b8af22db, 38756e3c, 6c99d7c8, 45589883, 46ded4d1, ba381f8f, f127baa1, 947caa4e, 00000000, ee999638, cae618f5, 8ba14562, 9ca89d1c, 1f6b08a4, d9574d4c, 7c6531e1, e31ec2a3, 8434b2dd, 7ca06d68, 4e290832, 33688938, 12cc89d9, c131f417, faf5c6ed, 6cb4024b, 9f08e497, 001a5597, 04b473bd, 5ebde635, 5fc985ea, f837df25, b18f2e91, f41d7a18, 919722bb, 3b30f9c4, 9d241e7a, 5fa297e5, c53db2f8, 7a6847d1, 5d9635d2, 9239127f, b2bd16ab, 92a6d507, 925d400c, b5863c10, f10a60ab, 004b2cc0, 4abe11b4, e7d25975, 90fb9dca, d547557b, 95629036, 3e16468d, ac826482, 3ec463bf, 207b432a, 11834d4c, 0080247a"
Unique call,"pangolinCall, functionCallWithValue, BSCswapCall, delegateCallReserves, waultSwapCall, polydexCall, ZyberCall, BiswapCall, delegateCallSwap, extMulticall, callBytes, routerCallNative, mostRecentCaller, multicallWithoutCheck, liquidationCall"
Unique price,"setTokenPrice, price_w, cacheAssetPrice, getAssetPrice, getUnderlyingPrice, getUSDPrice, getPriceOracleResponse, _setPriceOracle, changeNodePrice, assetPrices, postPrice"
Unique swap,"swapExactJarForJar, swapAVAXForExactTokens, swapBNBForExactTokens, swapExactTokensForBNB, postSwap, swapExactTokensForTokensSimple, Swapin, batchSwap, setSwapPairs, swapTokens, sellSwappedTokens, uniswapV2Router, uniswapV2Pair, tokenToEthSwapInput, ethToTokenSwapInput, swapToAddress, swapAndCrossOneInch, balancerSwap, _swap, swapExactPtForSy, swapFromVUsd, swapETH, swapStETH, swapToVUsd, simpleSwap, sellToUniswap, isSwap, swapOnWithdrawal, swapThroughOrionPool, doSwapThroughOrionPool, swapExactInputSingle, swapETHForBankX, swapXSDForETH, closeSwapIntent, createSwapIntent, swapETHForExactTokens, swapExactTokenInput, swapManual, swapTokensForTokens, swapExactAmountOut, swapExactTokensForNATIVE, swapQuoteTokenForBaseToken, swapNATIVEForExactTokens, swapAndDeposit, swapTokensForOther, swapTo, exactInputV3Swap, swapTokenForExactToken, swapExactTokenForToken, selfSwap, emitSwap, joinswapExternAmountIn, swapUnderlying"
Unique balance,"balanceOfUnderlying, rebalance, balance, batchBalanceAction, lockedBalanceOf, updateUserBalance, manageUserBalance, notifyBalanceUpdate, updateMinimumBalance, setMinimumBalance"
Unique get,"deleverageToMin, getUserStaking, getEntireSystemBalances, decayBaseRateAndGetBorrowingFee, getVoteTallyByAddress, getVoteCount, getAccruedRewards, getSlippageAccountedAmount, getAggregatorData, getDay, getOrderBorrowBalanceCurrent, _getMintPaused, swapAndStartBridgeTokensViaCBridge, getSqrtRatioAtTick, getTickAtSqrtRatio, getMetadata, targetedPurchase, getStaticIncome, getReserves, get_reward, getBorrowRate, getSupplyRate, getCash, getAccountLiquidity, getAmountOut, getBalance, _getPoolBalance, getAllValue, getInvestedValue, getCurrentCompoundingLevel, getAndUpdateLockedAmount, getRandoms, Loan_Get, getInviter"
Unique claim,"withdrawAndClaim, claimAllReward, claimMultiple, claim_rewards, claimTeamReward, stakeAndClaimReward, claimDpcAirdrop, claimStakeLp, multiclaim, claimToken1, claimNodeReward, claimCvgCvxMultiple, claimMultipleStaking, Claim, rewardClaimed, claimSelfApeCoin, claimComp"
Unique liquid,"calculateRemoveLiquidity, removeLiquidityImbalance, addLiquidityBNB, liquidateVault, beforeLiquidateBorrow, afterLiquidateBorrow, liquidateBorrowVerify, depositByAddLiquidity, withdrawAndRemoveLiquidity, checkLiquidation, computeLiquidity, deferLiquidityCheck, onDeferredLiquidityCheck, liquidationERC721, withdrawOnLiquidation, hvUpdateLiquidityLimit, updateLiquidityLimit"
Unique exec,"executeRoute, verifyHeaderAndExecuteTx, execTransactionFromModule, executeProposalWithIndex"
Unique withdraw,"withdrawFromOtherAsset, processWithdrawal, withdrawMoney, Withdraw, withdrawPLX, shouldHarvestOnWithdraw, withdrawReturnAmountByReferral, withdrawReturnAmountByConsumer, withdrawReturnAmountByMerchant, withdrawChange, takerWithdraw, withdrawMarket, migrateWithdraw, beforeWithdraw, withdrawSelfApeCoin, withdrawTeam, withdrawERC721, withdrawToManager, withdrawLp, withdrawExactShares, forceWithdraw, instantWithdraw, withdrawFrom, withdrawBAYC, withdrawApeCoin, finalizeERC20Withdrawal, withdrawSPORE, withdrawERC20For"
Unique reward,"applyPendingRewards, transReward, stakePendingRewards, pendingReward, updateReward, airDropReward, redeemRewards, createRewarder, rewardIndexesCurrent, queueNewRewards, batchHarvestMarketRewards, changeRewardPerNode, sendReward, reward, addRewardFromPlatform, includeInReward, excludeFromReward, setReward, WithdrawReward, rewardHolders, generateReward, withdrawRewards, preStartTimeRewards, sellRewardToken, rewardTrader"
Unique delegate,setDelegateApproval
Unique mint,"mintWithGasCompensation, mintToPayable, tx1_mintMassiveAmountOfBEUR, mintPositionForUser, beforeMint, totalMint, afterMint, mintMSD, mintHATE, mintPY, mintByYT, mintWithEther, mintForV2, mintStaking, mintCheck, MINTER_ROLE, mintETN, mintDivested, mintQWA, mintPosition, minter_mint, mintLp, mintFor, flipPauseMinting, WhiteListMint"
Unique burn,"burnWithGasCompensation, emergencyBurn, burnAlp, _burn, burnToEther, burnRate, BURNER_ROLE, burnDivested, hourBurn, convertAndBurn, fundManagerBurnFrom"
Unique sell,"sellToLiquidityProvider, executeSellTokenForToken, sellTokenForToken, Sell, sellVillage, sellSDO, sellItem, sellUSDP, sellWithContribution, sellShares, sellBaseToken, sellTokensToUsdc, sellKr, cancelPreviousSellOrders, fillSellOrder, sellToken, placeSellOrder, sellZABU"
Unique redeem,"instantRedeemLocal, afterRedeem, unstakeAndRedeemPlp, maxRedeem, redeemInYusd, nTokenRedeemViaBatch, redeemAtomic, Redeem"
Unique test,"testTransaction, testAttackTx1, test_attack, testexploit, testTransfer, testBurn, testExploit1, testApprove, updateStateOnRepay, testSkim, testPoC_A, migrateStake, delegateStake, testUnstake, delegateStakeFor, testDOSAttack, getExchangeRateStateful, test_Timelock, generateSteam, updateStrategy, testPoCReplicate, testsafeTransfer, testExploit_MARS, test_poc"
Unique buy,"BuyToken, buyDei, buyADC, buyLeverage, buyWithEthDynamic, buyJay, buyUSDP, buyTokensAndDepositOnBehalf, buyByBnb, buyMiner, buyBond, buyFor, Buy_SBT, buyItem"
Unique token,"listToken, sweepTokenForMarketing, enterMarketFromiToken, generateTokens, destroyTokens, tokenAirdrop, unlockToken, WithdrawToken, approveToken, transferTokens, beforeReceiptTokenTransfer, removeLiquiditySingleToken, afterReceiptTokenTransfer, addLiquiditySingleTokenKeepYt, Lock_Token, batchTransferLockToken, transferLockToken, zapInToken, token0, withdrawTokensWithAlt, depositTokens, ensureLocalToken, simpleToken, tokenA, addToken, transferTokenId, _QUOTE_TOKEN_, resourceIDToTokenContractAddress, sweepToken, setToken, batchTokenTransfer, unFreezeToken, autoBurnLiquidityPairTokens, safeTransferERC20Token, pureUsdtToToken, batchToken, reindexTokens, tokenAllowAll, withdrawToken, depositToken"
Unique add,"addBNB, addMultiple, addMinter, addAsset, addBorrow, addGems, safeAdd, addresses, add, setServiceProviderFactoryAddress, ecAdd, addTotalCash, addLiq, addVaultAddress, addProposal, handleBadDebt, mintAddressLock"
